,cluster,Cai,distancia,tiempo,CriminalidadLocalidad
10331,244.0,Cai San Luis ,1.1 km,5,2.878816391520804
10332,244.0,Cai Galerias ,0.3 km,2,2.878816391520804
10335,244.0,Cai Soledad ,1.7 km,7,2.878816391520804
10340,244.0,Cai Federman ,1.6 km,6,2.878816391520804
10468,46.0,Cai Bachue ,1.8 km,7,7.220870423971701
10476,46.0,Cai Quirigua ,2.0 km,8,7.220870423971701
10478,46.0,Cai Serena ,2.3 km,6,7.220870423971701
10480,46.0,Cai Florida ,2.6 km,8,7.220870423971701
10482,46.0,Cai Santa María Del Lago ,2.3 km,6,7.220870423971701
10594,39.0,Cai La Aurora ,0.6 km,2,1.563767675016456
10600,39.0,Cai Santa Librada ,1.2 km,4,1.563767675016456
10861,40.0,Cai La Alquería ,2.9 km,8,7.945104748270014
10866,40.0,Cai Galan ,2.9 km,7,7.945104748270014
10872,40.0,Cai Tejar ,1.6 km,4,7.945104748270014
10875,40.0,Cai Gorgonzola ,2.5 km,6,7.945104748270014
10879,40.0,Cai Santa Matilde ,1.9 km,7,7.945104748270014
11024,41.0,Cai Ricaurte ,2.7 km,8,7.945104748270014
11031,41.0,Cai Santa Isabel  ,2.7 km,8,7.945104748270014
11032,41.0,Estación Puente Aranda ,0.9 km,4,7.945104748270014
11040,41.0,Cai Galan ,1.9 km,4,7.945104748270014
11041,41.0,Cai Gorgonzola ,1.5 km,3,7.945104748270014
11042,41.0,Cai Tejar ,3.8 km,8,7.945104748270014
11132,42.0,Estación Kennedy ,2.2 km,8,15.525693658555944
11138,42.0,Cai Caldas ,0.2 km,2,15.525693658555944
11145,42.0,Cai Techo ,1.7 km,7,15.525693658555944
11162,42.0,Cai Tintal ,2.0 km,8,15.525693658555944
11242,236.0,Cai Chile ,1.0 km,5,13.811828262289291
11251,236.0,Cai Lourdes ,0.7 km,4,13.811828262289291
11254,236.0,Cai Chapinero ,1.1 km,5,13.811828262289291
11459,43.0,Cai La Aurora ,2.1 km,5,1.563767675016456
11460,43.0,Estación Usme ,1.2 km,6,1.563767675016456
11461,43.0,Cai Santa Librada ,1.2 km,5,1.563767675016456
11600,167.0,Cai Girardot ,1.5 km,6,2.4853124012353445
11607,167.0,Cai Las Cruces ,0.4 km,1,2.4853124012353445
11616,167.0,Cai Guavio ,1.6 km,7,2.4853124012353445
11627,167.0,Cai Distrital ,0.5 km,2,2.4853124012353445
11628,167.0,Cai Usme ,1.2 km,6,2.4853124012353445
11728,167.0,Cai Ciudad Berna ,2.4 km,8,2.4853124012353445
11743,167.0,Estación Candelaria ,1.0 km,6,2.4853124012353445
11745,167.0,Cai Bolivia ,1.5 km,8,2.4853124012353445
11927,44.0,Cai La Candelaria ,1.2 km,5,4.557375710240918
11938,242.0,Cai Chile ,0.5 km,3,13.811828262289291
11950,242.0,Cai Chapinero ,0.7 km,4,13.811828262289291
11953,242.0,Cai Granada ,1.6 km,8,13.811828262289291
11956,242.0,Cai Lourdes ,0.9 km,5,13.811828262289291
11958,242.0,Cai Oxy ,1.6 km,8,13.811828262289291
12155,64.0,Cai Tunal ,3.0 km,6,1.651398178144416
12163,64.0,Cai Venecia ,1.6 km,7,1.651398178144416
12187,64.0,Cai Delicias ,1.5 km,5,1.651398178144416
12188,64.0,Cai Villa Claudia ,3.1 km,8,1.651398178144416
12290,235.0,Cai Chile ,1.0 km,5,13.811828262289291
12301,235.0,Cai Granada ,1.7 km,8,13.811828262289291
